text,label
"I absolutely love this product! It exceeded all my expectations.",positive
"This is the best purchase I've ever made. Highly recommend!",positive
"Amazing quality and fast shipping. Will buy again!",positive
"Great customer service and the product works perfectly.",positive
"Wonderful experience from start to finish.",positive
"I'm so happy with this purchase. It's exactly what I needed.",positive
"Five stars! This product is fantastic.",positive
"Exceeded my expectations in every way.",positive
"Best money I've ever spent. Truly outstanding.",positive
"Love it! Perfect for my needs.",positive
"Terrible product. Broke after one day of use.",negative
"Worst purchase ever. Complete waste of money.",negative
"Do not buy this. It's cheaply made and doesn't work.",negative
"Very disappointed. The quality is awful.",negative
"Horrible experience. Customer service was unhelpful.",negative
"This product is a scam. Stay away!",negative
"Regret buying this. It's nothing like the description.",negative
"Poor quality and arrived damaged.",negative
"Doesn't work as advertised. Very frustrating.",negative
"Absolute garbage. I want my money back.",negative
"It's okay. Nothing special but does the job.",neutral
"Average product. Met my basic expectations.",neutral
"Not bad, not great. Just okay.",neutral
"Decent for the price. Could be better.",neutral
"It works, but there's room for improvement.",neutral
"Middle of the road product. Acceptable.",neutral
"Fair quality. Gets the job done.",neutral
"Neither impressed nor disappointed.",neutral
"Adequate for basic use.",neutral
"Standard product. Nothing to write home about.",neutral
